% f (Hz),Material Switch 2 index,Time (s),Coil current A (A),Coil current B (A),Coil current C (A),Coil voltage A (V),Coil voltage B (V),Coil voltage C (V),Axial torque (N*m),Rotor Losses (W),Stator Losses (W),Coil Losses (W)
50,1,0,0,3.061862178478973,-3.0618621784789717,3419462.6962926914,186357.25586420888,-4565713.028246533,4.072495098192006,3.095776870550808,15.282081973766198,574.883157540106
50,1,2.8936801309811967E-5,0.032140262512559394,3.0456655288953636,-3.077805791407922,535.9729158409435,-26.181812917898384,-382.4110782020739,3.9073911249697346,1.3577144857678312,11.490865212428,574.8831575401059
50,1,7.141263689574819E-5,0.07931284274026466,3.021435231085303,-3.1007480738255664,539.007782348462,-46.21465644524096,-400.1937477007906,3.8756658811503377,1.3583914777086312,11.492316626604786,574.8831575401063
50,1,9.919041467352596E-5,0.11015502065343984,3.0052981861472663,-3.115453206800705,541.8613030118634,-47.88016332936934,-382.6317336489876,3.8879627769519267,1.3587216057207137,11.492666565798029,574.8831575401064
50,1,1.2696819245130373E-4,0.14098880983530973,2.988932276116868,-3.129921085952177,546.7855588558604,-48.7217639651505,-357.4092222803671,3.8840184580471533,1.3591167276702565,11.490197981039467,574.8831575401058
50,1,1.547459702290815E-4,0.17181186217345032,2.9723387473215235,-3.144150609494973,532.896800677095,-50.9864457136745,-374.127122372842,3.88134708805324,1.3595202074869732,11.49136879424632,574.8831575401065
50,1,1.8252374800685928E-4,0.2026218303730897,2.955518863422692,-3.1581406937957803,531.9203551766722,-58.3321397486925,-391.0098333581944,3.890994838369694,1.359958587405579,11.4950855995633,574.883157540106
50,1,2.1030152578463705E-4,0.2334163681358639,2.9384739053196554,-3.171890273455517,538.811389067765,-63.07523416526908,-370.7983304022387,3.8739325685226826,1.3604987711891514,11.494025762512393,574.8831575401064
50,1,2.3807930356241482E-4,0.2641931303384963,2.9212051710519633,-3.1853983013904585,541.8340147052546,-61.53717465377939,-353.99041960530786,3.8337984579162776,1.3607834902702203,11.491272352093784,574.8831575401064
50,1,2.658570813401926E-4,0.2949497732113881,2.9037139757005894,-3.1986637489119767,547.5344874732564,-71.25312316911001,-326.65229320515465,3.7975027953464555,1.3612248770026938,11.482967222427927,574.8831575401057
50,1,2.9363485911797037E-4,0.32568395451710547,2.8860016512877813,-3.211685605804886,531.6814060859531,-80.8336809204876,-355.923756035433,3.804490615328269,1.3615691801944965,11.478608026435206,574.883157540106
50,1,3.2141263689574814E-4,0.3563933337287496,2.868069546675618,-3.224462880404367,535.4856670032449,-75.81687835252487,-360.4253809840151,3.7785785241277186,1.3616327398827421,11.476681556009847,574.8831575401065
50,1,3.491904146735259E-4,0.3870755722081974,2.8499190274632924,-3.236994599671488,540.4228211223731,-80.88942780161139,-339.9085904655916,3.7389939591812715,1.3621890340357,11.471016668408286,574.8831575401061
50,1,3.769681924513037E-4,0.4177283333841975,2.8315514758831153,-3.2492798092673114,540.7711406332573,-88.28984920204232,-331.03652535111723,3.719912212087016,1.3625541071034502,11.46364459159836,574.8831575401064
50,1,4.0474597022908146E-4,0.44834928293030946,2.8129682906952516,-3.26131757362556,543.2990310980762,-88.75531731502049,-327.75785163292875,3.6827050354812743,1.362704022308745,11.456393674590831,574.8831575401061
50,1,4.3252374800685923E-4,0.47893608894267137,2.7941708870812025,-3.273106976023873,536.9886287372776,-96.92797009030501,-326.0167237294348,3.642683259783843,1.363117115429748,11.448387779330803,574.8831575401064
50,1,4.60301525784637E-4,0.5094864221175839,2.7751606965360303,-3.2846471186536133,532.5833477924656,-103.26018249831101,-328.2464987211048,3.6391798500854446,1.3632543562970343,11.440402205243918,574.883157540106
50,1,4.880793035624148E-4,0.5399979559288953,2.7559391667593447,-3.2959371226882386,550.2296383894899,-105.21867253877453,-307.92935853463104,3.6180179889535644,1.3635247782169562,11.430170994087366,574.883157540106
50,1,5.158570813401926E-4,0.5704683668051755,2.7365077615450573,-3.306976128350233,536.4350773954842,-107.1516400684555,-313.3425429365301,3.560958262349536,1.3637650673913284,11.43452233456745,574.8831575401064
50,1,5.436348591179704E-4,0.6008953343066656,2.716867960669909,-3.317763294976573,533.2289841392655,-115.72624060071132,-318.1442220291954,3.5346160792804753,1.3639072857346544,11.44593423739671,574.8831575401059
50,1,5.714126368957483E-4,0.6312765413019873,2.6970212597807732,-3.3282978010827597,547.9804173279966,-122.34241142617842,-294.9990689090986,3.512369741606777,1.364275303366518,11.454951042077465,574.8831575401064
50,1,5.991904146735261E-4,0.6616096741446024,2.676969170280763,-3.3385788444253643,538.0697299363579,-122.33021270001692,-302.3540828400386,3.4821293527161226,1.3641924767397406,11.46554751135783,574.8831575401063
50,1,6.269681924513039E-4,0.6918924228490053,2.6567132192141276,-3.3486056420631316,540.9250728519708,-129.41491295420798,-301.3047599226326,3.4462267370630766,1.3644206654006388,11.4754681159942,574.883157540106
50,1,6.547459702290817E-4,0.7221224812666379,2.636254949149966,-3.3583774304166027,542.823910721112,-140.35552834915367,-281.9213031782495,3.4234374873338176,1.3647236324609529,11.48153807776995,574.8831575401064
50,1,6.825237480068596E-4,0.7522975472615111,2.615595918064751,-3.367893465326261,536.7055747943477,-135.78847374949038,-293.52978239555375,3.3908284698949807,1.3644908135616185,11.490613607685702,574.8831575401061
50,1,7.103015257846374E-4,0.7824153228855221,2.5947376992236837,-3.377153022109204,547.3487644110505,-144.33932580572753,-284.0587101362576,3.353549459166692,1.3647588244252453,11.497912359176567,574.8831575401061
50,1,7.380793035624152E-4,0.8124735145534511,2.5736818810608844,-3.3861553956143347,541.6968916218935,-151.34367555551034,-280.3458982797573,3.33439508747437,1.3649171404919567,11.503829320279692,574.8831575401061
50,1,7.65857081340193E-4,0.8424698332176278,2.5524300670584283,-3.3948999002760547,527.5793575242901,-152.60968907285167,-282.88365569226755,3.297371193349363,1.3647576800523469,11.509221214046248,574.8831575401059
50,1,7.936348591179709E-4,0.8724019945422503,2.5309838756242313,-3.4033858701664803,557.692011562046,-161.8042347498651,-261.6417152820378,3.257588923795124,1.3649702202255471,11.511348823599857,574.883157540106
50,1,8.214126368957487E-4,0.9022677190773469,2.509344939968803,-3.4116126590461486,550.3903850475316,-167.82800989936277,-272.39885094189606,3.2501692576281003,1.364769757591733,11.5140316400182,574.8831575401063
50,1,8.491904146735265E-4,0.9320647324323643,2.487514907980871,-3.419579640413234,544.4952154658321,-171.21434774305013,-268.4138455141781,3.220622783575329,1.3647373614997769,11.516488745057039,574.8831575401063
50,1,8.769681924513043E-4,0.9617907654493715,2.4654954421018913,-3.427286207551262,537.8613162644258,-177.0091901839072,-242.29137107682794,3.1754135900855935,1.3647111670999166,11.514189356201712,574.8831575401061
50,1,9.047459702290822E-4,0.9914435543758653,2.4432882191994425,-3.4347317735753067,545.2455460085413,-184.93321249715967,-271.7107337748302,3.1603970257893668,1.3644443376252713,11.5170455613221,574.8831575401063
50,1,9.3252374800686E-4,1.0210208410371635,2.4208949304395255,-3.441915771476688,562.8162001896106,-191.08481617082862,-253.4299118985525,3.1424786830169738,1.3644684875879662,11.517441381415617,574.8831575401059
50,1,9.603015257846378E-4,1.050520373008374,2.3983172811577806,-3.4488376541661543,553.8567219606254,-188.14373731284593,-248.66574962551863,3.1034993142119944,1.3643469719167303,11.51861887400093,574.883157540106
50,1,9.880793035624157E-4,1.079939903785925,2.375556990729612,-3.455496894515537,540.5182478875325,-203.10429771592638,-254.76102570454748,3.0842883991928036,1.3640042264168395,11.519923087127664,574.8831575401064
50,1,0.0010158570813401935,1.1092771929586454,2.3526157924392574,-3.4618929853979017,568.1395397715629,-213.29697449449918,-235.94898137586046,3.0746210653063204,1.3640604688242264,11.519907056121028,574.8831575401064
50,1,0.0010436348591179713,1.1385300063783805,2.3294954333477857,-3.468025439726165,558.3503339810201,-204.71573541185646,-240.40743422639778,3.0400723962052623,1.3636968833177998,11.52295571630663,574.8831575401064
